序号,编码,词条,分类,候选排序
357,"jcjz","江","单字码表","9366"
358,"jcld","娟","单字码表","9362"
359,"jcmk","浇","单字码表","9357"
360,"jcqw","娇","单字码表","9350"
361,"jctv","汲","单字码表","9348"
362,"jcwq","激","单字码表","9343"
363,"jewq","徼","单字码表","9318"
364,"jffo","僬","单字码表","9312"
365,"jfjs","借","单字码表","9307"
366,"jfmk","侥","单字码表","9305"
367,"jfms","僭","单字码表","9304"
368,"jfnv","健","单字码表","9300"
369,"jfqx","件","单字码表","9297"
370,"jfqx","牮","单字码表","9296"
371,"jfyk","僦","单字码表","9286"
372,"jfyr","佼","单字码表","9285"
373,"jfzg","僵","单字码表","9284"
374,"jgfw","界","单字码表","9281"
375,"jgfw","骱","单字码表","9279"
376,"jgfy","雎","单字码表","9278"
377,"jgjb","羁","单字码表","9273"
378,"jgx","巾","单字码表","9254"
379,"jhpv","进","单字码表","9242"
380,"jht","玑","单字码表","9240"
381,"jhtn","静","单字码表","9239"
382,"jhx","井","单字码表","9235"
383,"jinl","焗","单字码表","9224"
384,"jirg","爝","单字码表","9220"
385,"jirn","爝","单字码表","9219"
386,"jist","羯","单字码表","9218"
387,"jjgf","贾","单字码表","9207"
388,"jjjl","兢","单字码表","9202"
389,"jjm","鄄","单字码表","9196"
390,"jjmv","戟","单字码表","9195"
391,"jjqv","救","单字码表","9190"
392,"jjqv","教","单字码表","9191"
393,"jjv","柬","单字码表","9185"
394,"jkfo","硷","单字码表","9182"
395,"jkmz","殛","单字码表","9175"
396,"jks","劂","单字码表","9170"
397,"jljl","咭","单字码表","9158"
398,"jlki","噘","单字码表","9155"
399,"jlrn","嚼","单字码表","9142"
400,"jlyw","哜","单字码表","9133"
401,"jlyw","跻","单字码表","9132"
402,"jmb","卺","单字码表","9130"
403,"jmyr","较","单字码表","9118"
404,"jmz","孑","单字码表","9116"
405,"jnm","郡","单字码表","9107"
406,"jnqx","犟","单字码表","9103"
407,"jnzg","疆","单字码表","9098"
408,"jpfp","衿","单字码表","9073"
409,"jphx","讲","单字码表","9071"
410,"jpmn","讵","单字码表","9063"
411,"jqdc","筋","单字码表","9052"
412,"jqgr","稷","单字码表","9050"
413,"jqnv","毽","单字码表","9035"
414,"jsgz","监","单字码表","9026"
415,"jtcq","解","单字码表","9018"
416,"jtgz","狙","单字码表","9016"
417,"jtl","咎","单字码表","9007"
418,"jtt","饥","单字码表","8999"
419,"jtv","及","单字码表","8996"
420,"jtyl","猄","单字码表","8992"
421,"jtyr","狡","单字码表","8991"
422,"jtyr","鲛","单字码表","8989"
423,"jtyt","獍","单字码表","8988"
424,"jumv","拣","单字码表","8976"
425,"juqw","挢","单字码表","8968"
426,"jutl","拘","单字码表","8963"
427,"jvc","劫","单字码表","8959"
428,"jvnv","艰","单字码表","8952"
429,"jvyt","境","单字码表","8945"
430,"jxcv","极","单字码表","8937"
431,"jxfo","检","单字码表","8936"
432,"jxjg","槿","单字码表","8933"
433,"jxjl","桔","单字码表","8932"
434,"jxnv","楗","单字码表","8926"
435,"jxtv","极","单字码表","8919"
436,"jyjz","酱","单字码表","8908"
437,"jykv","就","单字码表","8906"
438,"jyld","京","单字码表","8904"
439,"jym","疖","单字码表","8901"
440,"jynv","决","单字码表","8898"
441,"jyqv","疾","单字码表","8895"
442,"jyt","麂","单字码表","8889"
443,"jytj","将","单字码表","8888"
444,"jyyd","瘠","单字码表","8881"
445,"jzfc","镌","单字码表","8879"
446,"jzjz","豇","单字码表","8876"
447,"jzyt","镜","单字码表","8864"
448,"kbgg","蒉","单字码表","13444"
449,"kbmb","芤","单字码表","13438"
450,"kgzl","岢","单字码表","13394"
451,"kjgg","聩","单字码表","13378"
452,"kjsm","醌","单字码表","13369"
453,"kjt","壳","单字码表","13368"
454,"kktf","砍","单字码表","13361"
455,"klcl","咖","单字码表","13353"
456,"klkv","哭","单字码表","13349"
457,"kogx","悃","单字码表","13323"
458,"kojz","空","单字码表","13319"
459,"konm","慨","单字码表","13318"
460,"konv","快","单字码表","13316"
461,"kotl","客","单字码表","13312"
462,"kqyl","犒","单字码表","13290"
463,"ktfh","狯","单字码表","13284"
464,"kugx","捆","单字码表","13276"
465,"kuyc","扩","单字码表","13264"
466,"kuyt","抗","单字码表","13263"
467,"kuyt","闶","单字码表","13262"
468,"kzyt","钪","单字码表","13223"
469,"lb","〇","单字码表","11593"
470,"lbgb","缧","单字码表","11582"
471,"lbic","缕","单字码表","11579"
472,"lblg","蕾","单字码表","11574"
473,"lbpc","芦","单字码表","11568"
474,"lbpv","邋","单字码表","11564"
475,"lbsg","蓝","单字码表","11560"
476,"lbtg","骝","单字码表","11558"
477,"lbtl","络","单字码表","11556"
478,"lbtl","绺","单字码表","11555"
479,"lbvr","菱","单字码表","11552"
480,"lbx","蔾","单字码表","11550"
481,"lbyg","蓠","单字码表","11549"
482,"lcbc","涝","单字码表","11543"
483,"lcgb","嫘","单字码表","11537"
484,"lcgz","娌","单字码表","11534"
485,"lcgz","泪","单字码表","11536"
486,"lcgz","浬","单字码表","11533"
487,"lcjt","姥","单字码表","11530"
488,"lcks","洌","单字码表","11525"
489,"lcmc","泐","单字码表","11520"
490,"lcnj","漏","单字码表","11517"
491,"lctg","溜","单字码表","11513"
492,"ldc","肋","单字码表","11498"
493,"lfks","例","单字码表","11473"
494,"lfll","侣","单字码表","11471"
495,"lgbd","累","单字码表","11458"
496,"lgfp","岭","单字码表","11457"
497,"lgfp","蛉","单字码表","11455"
498,"lgic","嵝","单字码表","11452"
499,"lgic","髅","单字码表","11450"
500,"lgic","","单字码表","11449"
501,"lgit","嶙","单字码表","11448"
502,"lgjs","蜡","单字码表","11445"
503,"lgkv","眬","单字码表","11441"
504,"lglv","睐","单字码表","11439"
505,"lgtl","略","单字码表","11433"
506,"lhxx","琳","单字码表","11409"
507,"lhyg","璃","单字码表","11408"
508,"lipv","粮","单字码表","11394"
509,"ljbg","鬣","单字码表","11386"
510,"ljgz","醴","单字码表","11383"
511,"ljrj","酹","单字码表","11381"
512,"lkc","励","单字码表","11371"
513,"lknc","碌","单字码表","11358"
514,"lktv","砾","单字码表","11354"
515,"llbc","唠","单字码表","11346"
516,"llfp","零","单字码表","11341"
517,"llgz","雷","单字码表","11337"
518,"llkc","呖","单字码表","11332"
519,"llks","嘹","单字码表","11328"
520,"llks","蹽","单字码表","11327"
521,"lltl","路","单字码表","11318"
522,"llxx","霖","单字码表","11312"
523,"lmpv","辽","单字码表","11301"
524,"lmym","辘","单字码表","11295"
525,"lofp","怜","单字码表","11287"
526,"lomt","窿","单字码表","11281"
527,"loyh","懔","单字码表","11276"
528,"lpsg","褴","单字码表","11263"
529,"lqfc","黎","单字码表","11257"
530,"lqll","稆","单字码表","11250"
531,"lqnc","氯","单字码表","11249"
532,"ltgz","狸","单字码表","11226"
533,"ltgz","留","单字码表","11224"
534,"ltgz","鳢","单字码表","11223"
535,"ltpv","狼","单字码表","11216"
536,"lttg","馏","单字码表","11212"
537,"ltzg","鲡","单字码表","11207"
538,"luft","抡","单字码表","11203"
539,"luts","撸","单字码表","11188"
540,"lxfp","柃","单字码表","11169"
541,"lxgy","楞","单字码表","11166"
542,"lxjt","栳","单字码表","11162"
543,"lxpm","榔","单字码表","11153"
544,"lybj","率","单字码表","11138"
545,"lygv","离","单字码表","11130"
546,"lyjv","辣","单字码表","11123"
547,"lyks","冽","单字码表","11121"
548,"lymt","癃","单字码表","11114"
549,"lyqy","旒","单字码表","11107"
550,"lyyg","廪","单字码表","11095"
551,"lyz","銮","单字码表","11091"
552,"lzll","铝","单字码表","11079"
553,"lzm","钌","单字码表","11076"
554,"lzpv","锒","单字码表","11073"
555,"mahx","芈","单字码表","12593"
556,"mb","乜","单字码表","12592"
557,"mbdv","糸","单字码表","12587"
558,"mbgz","苗","单字码表","12580"
559,"mbhv","蒙","单字码表","12578"
560,"mbkv","茂","单字码表","12574"
561,"mbsg","蔓","单字码表","12563"
562,"mbtl","茗","单字码表","12560"
563,"mbtz","鹲","单字码表","12557"
564,"mbv","墓","单字码表","12554"
565,"mbyb","芒","单字码表","12549"
566,"mcbs","嫫","单字码表","12542"
567,"mchv","妹","单字码表","12536"
568,"mcmg","媚","单字码表","12529"
569,"mcpv","泌","单字码表","12525"
570,"mcs","汨","单字码表","12523"
571,"mcsg","漫","单字码表","12522"
572,"mctg","娩","单字码表","12521"
573,"mctl","洺","单字码表","12519"
574,"mcyt","嬷","单字码表","12515"
575,"mgbg","蠛","单字码表","12499"
576,"mgbj","瞒","单字码表","12497"
577,"mgmg","嵋","单字码表","12485"
578,"mgnb","眠","单字码表","12483"
579,"mgps","瞑","单字码表","12480"
580,"mgqb","眊","单字码表","12478"
581,"mgvq","蛑","单字码表","12472"
582,"mhgg","瑁","单字码表","12466"
583,"misg","熳","单字码表","12453"
584,"mjqb","耄","单字码表","12446"
585,"mjqb","酶","单字码表","12447"
586,"mkbh","礞","单字码表","12441"
587,"mkby","硭","单字码表","12440"
588,"mlbv","呣","单字码表","12432"
589,"mlbz","骂","单字码表","12431"
590,"mmc","勐","单字码表","12415"
591,"mmgz","孟","单字码表","12413"
592,"moyb","忙","单字码表","12393"
593,"mpsg","幂","单字码表","12385"
594,"mqgk","篾","单字码表","12377"
595,"mqpv","秘","单字码表","12375"
596,"mqqv","敏","单字码表","12373"
597,"mrbs","貘","单字码表","12366"
598,"msgz","盟","单字码表","12358"
599,"mtm","卯","单字码表","12345"
600,"mtmg","猛","单字码表","12344"
601,"mtmg","猸","单字码表","12343"
602,"mtsg","馒","单字码表","12341"
603,"mvgz","埋","单字码表","12324"
604,"mxtv","梦","单字码表","12309"
605,"mybd","縻","单字码表","12304"
606,"mygz","亩","单字码表","12299"
607,"mygz","盲","单字码表","12301"
608,"myiv","糜","单字码表","12298"
609,"mzbs","镆","单字码表","12282"
610,"mzmg","锰","单字码表","12277"
611,"nbmz","纽","单字码表","13632"
612,"nbnz","纽","单字码表","13631"
613,"nc","乃","单字码表","13626"
614,"ncc","努","单字码表","13622"
615,"ncmz","妞","单字码表","13617"
616,"ncnt","泥","单字码表","13611"
617,"ncpv","娘","单字码表","13608"
618,"ncpv","浓","单字码表","13607"
619,"ncsv","涅","单字码表","13605"
620,"nctd","妳","单字码表","13604"
621,"ndnc","脲","单字码表","13597"
622,"nfhc","佞","单字码表","13594"
623,"nfpv","念","单字码表","13591"
624,"nfpv","恁","单字码表","13588"
625,"nfpv","您","单字码表","13590"
626,"ngmk","蛲","单字码表","13579"
627,"ngwt","睨","单字码表","13577"
628,"njpv","酿","单字码表","13563"
629,"nljv","蹑","单字码表","13545"
630,"npgv","讷","单字码表","13520"
631,"ntwt","猊","单字码表","13499"
632,"nukh","捺","单字码表","13489"
633,"nuyg","闹","单字码表","13479"
634,"nwjh","齉","单字码表","13472"
635,"nymz","疟","单字码表","13460"
636,"pbjh","缥","单字码表","13538"
637,"pbl","辔","单字码表","13535"
638,"pbtj","葡","单字码表","13531"
639,"pcjh","漂","单字码表","13515"
640,"pcqh","湃","单字码表","13507"
641,"pcrg","潘","单字码表","13506"
642,"pcyy","滂","单字码表","13500"
643,"pgjh","瞟","单字码表","13467"
644,"pgmt","毗","单字码表","13464"
645,"pgwj","蜱","单字码表","13457"
646,"phmb","琶","单字码表","13451"
647,"pjec","彭","单字码表","13438"
648,"pljh","嘌","单字码表","13410"
649,"plll","品","单字码表","13408"
650,"plny","霹","单字码表","13406"
651,"plsi","噗","单字码表","13402"
652,"pltn","跑","单字码表","13399"
653,"pntz","","单字码表","13382"
654,"pqpg","犏","单字码表","13366"
655,"pqt","牝","单字码表","13365"
656,"prgz","盆","单字码表","13360"
657,"ptyy","鳑","单字码表","13350"
658,"pucv","披","单字码表","13347"
659,"pumt","批","单字码表","13339"
660,"pyt","庀","单字码表","13293"
661,"pytn","疱","单字码表","13291"
662,"pzcv","","单字码表","13287"
663,"qbjr","骐","单字码表","11901"
664,"qbkz","绮","单字码表","11897"
665,"qblj","葺","单字码表","11896"
666,"qboc","","单字码表","11890"
667,"qcjg","嫱","单字码表","11875"
668,"qcqb","汽","单字码表","11870"
669,"qcx","柒","单字码表","11867"
670,"qfjv","俅","单字码表","11848"
671,"qfmk","倾","单字码表","11846"
672,"qfmn","佢","单字码表","11845"
673,"qfnv","侵","单字码表","11843"
674,"qgf","囚","单字码表","11835"
675,"qggz","蛆","单字码表","11829"
676,"qghd","蜻","单字码表","11826"
677,"qghd","","单字码表","11825"
678,"qgib","圈","单字码表","11822"
679,"qgib","蜣","单字码表","11821"
680,"qgjt","嵌","单字码表","11817"
681,"qgjv","岐","单字码表","11816"
682,"qgkz","崎","单字码表","11812"
683,"qgnb","岂","单字码表","11810"
684,"qhnb","玘","单字码表","11786"
685,"qhyl","琼","单字码表","11779"
686,"qitf","歉","单字码表","11770"
687,"qjbf","醛","单字码表","11764"
688,"qjgv","蛩","单字码表","11759"
689,"qjkl","碁","单字码表","11756"
690,"qjkl","磬","单字码表","11757"
691,"qjm","邛","单字码表","11753"
692,"qjpv","逑","单字码表","11752"
693,"qjsj","覃","单字码表","11745"
694,"qjtf","欺","单字码表","11744"
695,"qjv","求","单字码表","11741"
696,"qjyh","謦","单字码表","11739"
697,"qkmc","砌","单字码表","11728"
698,"qkzl","奇","单字码表","11721"
699,"qlfb","呛","单字码表","11720"
700,"qmv","堑","单字码表","11697"
701,"qnlg","强","单字码表","11692"
702,"qobz","骞","单字码表","11690"
703,"qosv","悭","单字码表","11678"
704,"qpnl","裙","单字码表","11660"
705,"qqfo","签","单字码表","11651"
706,"qqhd","氰","单字码表","11650"
707,"qqnv","缺","单字码表","11644"
708,"qqpv","迁","单字码表","11642"
709,"qqpv","迄","单字码表","11643"
710,"qtc","劬","单字码表","11634"
711,"qtij","","单字码表","11630"
712,"qttz","鹐","单字码表","11624"
713,"qvjv","趣","单字码表","11608"
714,"qvtn","趋","单字码表","11604"
715,"qxjz","栖","单字码表","11585"
716,"qxpz","榷","单字码表","11580"
717,"qxqx","杄","单字码表","11576"
